Category,Film Title,Speech,Winner,Year
 Writing (Adapted Screenplay), The Pianist,"When I was last here twenty years ago--I'm not making a habit of it, don't worry--Shirley MacLaine got Best Actress.  And when she got the statue she said, ""I deserve this.""  Well, I wish I could say that, but I can't.  Roman Polanski deserves this.  He's a great director and a wonderful colleague.  And I want to thank him and, of course, you for this splendid honor.  Thank you very much indeed.", Screenplay by Ronald Harwood, 2002 (75th) Academy Awards
 Writing (Adapted Screenplay), The Lord of the Rings: The Return of the King,"We grew up loving these books, we had no idea that we were gonna go gray trying to make them into movies.  And we have so many people that we need to thank, but the first person we absolutely must thank is Professor J.R.R. Tolkien.  Without him we wouldn't be standing here.  I want to thank my parents, John and Jane Boyens, who gave me those books to read.  My wonderful brother David, my sister Nicki, my beautiful children Calum and Phoebe.  And Ken Kamins, Barrie Osborne, Howard Shore, thank you so much for everything that you've done for us.  Most of all I want to thank these two people standing behind me.PETER JACKSON:Thank you.  Thank you, New Line Cinema, Mark Ordesky, especially, for all your script support along the way.  And we want to say hi to our kids Billy and Katie for putting up so much with Mum and Dad working on this film all their lives, because they're only seven and eight years old.  And I especially just lastly want to thank our wonderful cast who just got their tongues around this rather awkward text and made it come to life with such emotion and passion and heart.  So thank you very, very much."," Screenplay by Fran Walsh, Philippa Boyens &amp; Peter Jackson", 2003 (76th) Academy Awards
 Writing (Adapted Screenplay), Sideways,"Hi, good evening. We thank the Academy. We salute our fellow nominees. And we thank Rex Pickett, on whose novel the screenplay was based. And our wonderful producer Michael London. Jim...JIM TAYLOR:We've been lucky enough to be writing partners for fifteen years. Since the beginning we've had a great pair of agents:  David Lubliner...ALEXANDER PAYNE:...and David Lonner.JIM TAYLOR:And more recently, a great pair of wives: The stunning and talented Tamara Jenkins...ALEXANDER PAYNE:...equally stunning and talented, Sandra Oh.JIM TAYLOR:My mother taught me to write, and she died before she could see any of this. So this is for you, Mom.ALEXANDER PAYNE:Also, real quick. We love Fox Searchlight for letting us make a film with complete creative freedom. And last but not least--very quickly, I know, I'm going to wrap up--I want to share my side of this award with the cast and crew of the film because we had a lot of fun. See ya later.", Screenplay by Alexander Payne &amp; Jim Taylor, 2004 (77th) Academy Awards
 Writing (Adapted Screenplay), Brokeback Mountain,"Thank you to the Academy.  The duty of art is to send light into the darkness of men's hearts.  Thank you, Annie Proulx—she's right over there—for trusting us with your brilliant short story.  Thank you to Ang Lee and our brilliant cast for breathing life into our words.  Thank you to Universal; Focus Features; Bill Pohlad; Michael Costigan, my dear friend; my good friend Mark Poirier for giving me ""The New Yorker"" that had that short story in it.  And thank you to my writing partner, Larry.  And thank you for giving him this award as well.LARRY McMURTRY:Since somehow I unaccountably failed to thank my brilliant partner Diana at the Golden Globes, I'm going to rattle off all the attributes I was going to thank her for at the Golden Globes:  Smarts, guts, drive, good judgment, tenacity, loyalty, and generosity.  That's the kind of virtues you need in the rough strife of moviemaking.  I'd like to thank also James and Curtis, my son and grandson, with love and pride.  I thank our loyal lawyers Robert Thorne and Greg Redlitz.  And finally I'm going to thank all the booksellers of the world.  Remember that ""Brokeback Mountain"" was a book before it was a movie. From the humblest paperback exchange to the masters of the great bookshops of the world, all are contributors to the survival of the culture of the book, a wonderful culture, which we mustn't lose.  Thank you.", Screenplay by Larry McMurtry &amp; Diana Ossana, 2005 (78th) Academy Awards
 Writing (Adapted Screenplay), The Departed,"Well, valium does work. Anyway, I was going to cut off the beginning of this speech and make it brief, but I'm gonna leave it back in and say the movie that made me wanna be a screenwriter was Robert Bolt's ""Lawrence of Arabia."" And I don't know what could've happened in the universe to end up at the same Oscars as Peter O'Toole, you know; so it's crazy. He's here, I've seen him.So anyway, thanks to the Academy, to Warner Bros., everybody at Warner Bros. Alan Mak and Felix Chong who wrote ""Infernal Affairs."" The producers present and not present, the agents, everybody who made ""The Departed"" such a success. Thanks to Marty and Leo for reading the script and calling each other and saying let's make it. And Thelma. Everyone who worked on ""The Departed"" was, it's easy to say, on the top of their game before they started, and under Marty's direction it only got higher after that. Thank you very much.", Screenplay by William Monahan, 2006 (79th) Academy Awards
 Writing (Adapted Screenplay), No Country for Old Men,"Thank you very much for this.  Thank you, Scott Rudin, for bringing us this novel and giving us the opportunity to make the movie.  I think whatever success we've had in this area has been entirely attributable to how selective we are:  we've only adapted Homer and Cormac McCarthy.  So, thank you.ETHAN COEN:We, uh... thank you very much.", Written for the screen by Joel Coen &amp; Ethan Coen, 2007 (80th) Academy Awards
 Writing (Adapted Screenplay), Slumdog Millionaire,"Thank you very much indeed.  There are certain places in the universe you never imagine standing.  For me it's the moon, the South Pole, the Miss World podium, and here.  It's a tremendous honor, so thank you to the Academy.I certainly wouldn't be standing here tonight without Vikas Swarup, who wrote the book without which none of ""Slumdog"" would ever have happened.  So thank you, Vikas.  Tessa Ross from Film4, who shoved the manuscript into my hand and said, ""This is yours, you must go to India.""  Thank you.  My parents who've always supported me throughout everything.  My wife Jane, for whom repressed English writers have to write love stories, 'cause they can't really say what they mean.  Susan Landau and Charlotte Knight, both my manager and my agent. And of course the wonderful Dev, the wonderful Latika, and the cast and crew of the film who have taught me so much about India and so much about writing, and they've all sort of changed my life.  And finally, thank you so much to Danny and Christian, the other two musketeers.  Thank you very much.", Screenplay by Simon Beaufoy, 2008 (81st) Academy Awards
 Writing (Adapted Screenplay), Precious: Based on the Novel 'Push' by Sapphire,"Don't know what to say.  This is for everybody who works on a dream every day.  Precious boys and girls everywhere.  All the cast and crew, anyone who's kept believing in me.  My two brothers, supported me in every way, my role models, my heroes, Buddy and Todd.  My mother Bettye, angel of my world.  My father Alphonse, who spent so much time with us and taught us everything.  I'm sorry I'm drawing a blank right now, but I thank everyone.", Screenplay by Geoffrey Fletcher, 2009 (82nd) Academy Awards
 Writing (Adapted Screenplay), The Social Network,"Thank you.  It's impossible to describe what it feels like to be handed the same award that was given to Paddy Chayefsky thirty-five years ago for another movie with ""network"" in the title.  His was an original screenplay; this is an adaptation of a book by Ben Mezrich, so I'm accepting this on his behalf as well.  There are a lot of people who've worked hard in my corner for a long time and it seems like the right moment to thank them:  my assistant Lauren Lohman; my researcher Ian Reichbach; my long suffering press rep, Joy Fehily, and all the women of Prime; Rich Heller, Bill Tanner, Andy Forshay*; my agents Ari Emanuel and Jason Spitz, who never blow my cover and reveal that I would happily do this for free; and my mom and dad, who made a life for me where I get to be a part of nights like this.I wrote this movie but David Fincher made this movie, and he did it with an ungodly artfulness.  Someone this talented has no business being the nicest guy in the world, but he is, and he made the movie of any screenwriter's dreams.  He had help from Amy Pascal, Michael Lynton and everyone at Sony whose only mandate was to make it good.  From Dana Brunetti, Ceán Chaffin, Mike De Luca, and America's best living film producer, Scott Rudin.  And from Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Armie Hammer again, Rashida Jones, Rooney Mara, and a cast and crew that followed their leader's example: that good enough was never good enough.  This movie is going to be a source of pride for me every day for the rest of my life.  That is an un-repayable gift.  All I can say is thank you.Roxy Sorkin, your father just won the Academy Award.  I'm gonna have to insist on some respect from your guinea pig.  Thank you very much.", Screenplay by Aaron Sorkin, 2010 (83rd) Academy Awards
 Writing (Adapted Screenplay), The Descendants,"This is Jim, and this is Nat. I'm Alexander. We bow to our fellow nominees... [Jim Rash imitates presenter Angelina Jolie's pose when she was presenting.] Help, stop the counter... We bow to our fellow nominees. We want to thank Fox Searchlight and producer Jim Burke for all their good works. We share this with George Clooney and the rest of the cast for interpreting our screenplay so generously.  And we also share it, in particular, with Kaui Hart Hemmings, our beautiful Hawaiian flower, for her novel. And on a brief personal note, if I may. My mother is here with me from Omaha and -- hold the applause -- and after watching the show a few years ago she made me promise that if I ever won another Oscar, I had to dedicate it to her just like Javier Bardem did with his mother. So, Mom, this one's for you. S'agapo poli. And thanks for letting me skip nursery school so we could go to the movies. Thanks a lot.", Screenplay by Alexander Payne and Nat Faxon &amp; Jim Rash, 2011 (84th) Academy Awards
 Writing (Adapted Screenplay), Argo,"I want to say I share this with the other people in my category: Lucy and Benh, and David and David and Tony, brilliant Tony. Thank you for inspiring me.Thank you, Ben Affleck. Ben, fifteen years ago you were up here with the first screenplay you got made and now you made this film that's brought me up here, and it's a gift and I can never repay it. And thank you, I love you. I want to thank Warner Bros. Everybody at Smokehouse: George, Grant, Nina. I want to thank my mom and dad, my friends who prop me up every day in all this. Josh Bearman. And I want to dedicate this to a man named Tony Mendez. Thirty-three years ago, Tony, using nothing but his creativity and his intelligence, got six people out of a very bad situation. And so I want to dedicate this to him and the Taylors and the Sheardowns and people all over the world in the U.S., in Canada, in Iran, who use creativity and intelligence to solve problems non-violently. Thank you.", Screenplay by Chris Terrio, 2012 (85th) Academy Awards
 Writing (Adapted Screenplay), 12 Years a Slave,"Thank you, all. I started writing in sitcoms a long time ago, and at that time I was very fortunate to meet a script coordinator who was gracious enough to read everything I wrote. And when she thought it was ready she put a smiling face at the end that I knew that it was job done. And, Gayle, seeing you here tonight and smiling, you take away all that soul-crushing inadequacy.All the praise goes to Solomon Northup. Those are his words; that is his life. All the thanks goes to the entire crew, the entire cast. To everyone at Fox Searchlight, at River Road, at New Regency and Plan B. Mr. Pitt. Most especially to Dede and Jeremy Kleiner, you made this film happen. Jeremy, you made it happen; thank you so much. Mom, Dad, Lisa, Beth, John, Jason, all my love. Thank you very much. Thank you.", Screenplay by John Ridley, 2013 (86th) Academy Awards
 Writing (Adapted Screenplay), The Imitation Game,"Thank you so much to the Academy... and to Oprah... for this. I need to shower my love and kisses on everyone who's a part of our ""Imitation Game"" family. Morten, Nora, Ido, Teddy, Keira, Benedict, Billy, Alexandre, our entire cast, Maria, who's back there somewhere. I love you guys so much. Thank you for this film. I'm so indebted to you for it.So here's, here's the thing. Alan Turing never got to stand on a stage like this and look out at all of these disconcertingly attractive faces, and I do. And that's the most unfair thing I think I've ever heard. So, in this brief time here, what I want to use it to do is to say this: When I was sixteen years old I tried to kill myself, because I felt weird and I felt different and I felt like I did not belong. And now I'm standing here. And so I would like for this moment to be for that kid out there who feels like she's weird or she's different or she doesn't fit in anywhere. Yes, you do. I promise you do. You do. Stay weird. Stay different. And then when it's your turn and you are standing on this stage, please pass the same message to the next person who comes along. Thank you so much. I love you guys.", Written by Graham Moore, 2014 (87th) Academy Awards
 Writing (Adapted Screenplay), The Big Short,"Thank you so much to the Academy. Also thank you to Michael Lewis for writing an amazing book that inspired Charles and I so much. Thank you to Paramount for taking a risk on a movie that's about financial esoterica and believing in it. Thank you to my beautiful wife Shira Piven – there she is. And my children, Lili Rose, my two daughters, Lili Rose and Pearl, I love you so much. Most of all, if you don't want big money to control government, don't vote for candidates that take money from big banks, oil or weirdo billionaires: Stop!CHARLES RANDOLPH:	Thank you very much to Plan B. Thank you very much to Paramount. To my wife Mili, ani ohev otach, Mili. To my kids, I am so happy to be your father. Thank you.=============================Thank you scroll (as it appeared on the live broadcast):Charles Randolph &amp; Adam McKay would like to thank: Brad Grey, Rob Moore, Marc Evans, Geoff Stier, Megan Colligan, Jimmy Miller, Ari Emmanuel, Cliff Roberts, Kevin Messick, Robyn Wholey, Fred McKay, Sarah Imperato, Colleen Goddard, the late great Del Close, Charna Halpern, Gary Sanchez, Margaret Riley, Rowena Arguelles, Nancy Jones and Craig Emmanuel. David Beaubaire. Henry Finder. The gentlemen of BNO: Malcolm Gladwell, Bruce Headlam, Stephen Sherrill, Jacob Weisberg and the good people of Hudson, Tivoli and Millerton, NY.", Screenplay by Charles Randolph and Adam McKay, 2015 (88th) Academy Awards
 Writing (Adapted Screenplay), Moonlight,"Thank you to the Academy. Thank you, A24. Thank you, Plan B. Thank you, Adele Romanski. Thank you, our amazing, phenomenal cast. Thank you, my mom, my sister, everybody in Miami. I also want to thank my reps, the three amigos: Jay Baker at CAA, Jewerl Ross and Jamie Feldman. And I have to thank two women in particular, my publicist Paula Woods and Heather Secrist at A24. Thank you for taking care of me.You know, I tell my students that I teach sometimes: Be in love with the process, not the result. But I really wanted this result, because a bajillion people are watching. And all you people out there who feel like there's no mirror for you, that your life is not reflected – the Academy has your back. The ACLU has your back. We have your back. And for the next four years we will not leave you alone. We will not forget you.TARELL ALVIN McCRANEY:Amen, brother. I just want to echo everything you just said and all those thanks. But I also want to say thank god for my mother, who proved to me through her struggles and the struggles that Naomie Harris portrayed for all of you, that we can really be here and be somebody. Two boys from Liberty City, up here on this stage representing 305. This goes out to all those black and brown boys and girls and non-gender-conforming who don't see themselves. We're trying to show you you and us. So thank you. Thank you. This is for you.", Screenplay by Barry Jenkins; Story by Tarell Alvin McCraney, 2016 (89th) Academy Awards
 Writing (Adapted Screenplay), Call Me by Your Name,"Well, I'll try and keep it—I'll make it as fast I can, before the music plays. My rule number one for a screenwriter who adapts a novel is first thank the author: André Aciman, who wrote the story about first love and who's here tonight. A story familiar to most of us; whether we're straight or gay, or somewhere in between, we've all gone through first love, I hope, and come out the other side mostly intact. Though maybe not without the benefit of loving parents like the Perlmans in this film. I want to thank our sensitive and sensible director, Luca Guadagnino, as well as my neighbors in Upstate New York, Peter Spears and Brian Swardstrom, who offered me this job. Of course, I want to thank the film's wonderful emotion-filled actors; I wouldn't be standing up here tonight without their inspired help.And I wouldn't be standing up here without the inspired help I received from my life's partners who are gone: our writer Ruth Jhabvala, who received this award twice, and our fearless producer Ismail Merchant. Working with them for close to fifty years at Merchant Ivory led me to this award. And my profound thanks to the members of the Academy; in voting for me you are remembering them. And finally, my thanks to Sony Classics, to Michael Barker and to Tom Bernard, for getting behind this film in such a princely way. Thank you very much, everyone.", Screenplay by James Ivory, 2017 (90th) Academy Awards
 Special Effects, Cleopatra,Thank you very much. I wish I could take the lady [presenter Angie Dickinson] home with me instead of this little Oscar.," Emil Kosa, Jr.", 1963 (36th) Academy Awards
 Special Visual Effects, Mary Poppins,"I'd like to say thank you very much. It's been exciting. Thank you.HAMILTON LUSKE:On behalf of Walt's fine animation department and especially Mac Stewart who had a great deal to do with winning this, thank you very much.EUSTACE LYCETT:My sincere thanks to the Academy and all the people that worked with me on this picture, and especially the people in my department who worked very hard to make this thing possible. Thank you."," Peter Ellenshaw, Eustace Lycett, Hamilton Luske", 1964 (37th) Academy Awards
 Special Visual Effects, Thunderball,"Thank you. I accept the award for John Stears with gratitude. In his name I would like to thank those who had assisted him, especially Jordan Klein, the underwater engineer, and the underwater team. Cubby Broccoli and Harry Saltzman, for giving them such a fine opportunity to do the fantastic. Thank you very much.", John Stears, 1965 (38th) Academy Awards
 Special Visual Effects, Fantastic Voyage,"My thanks to the many talented technicians whose combined efforts made this picture possible. And I also want thank the man who should be here beside me, Mr. L. B. Abbott. Thank you, Academy.", Art Cruickshank, 1966 (39th) Academy Awards
 Special Visual Effects, Doctor Dolittle,I want to most sincerely thank all the wonderful people that made this possible., L. B. Abbott, 1967 (40th) Academy Awards
 Special Visual Effects, 2001: A Space Odyssey,, Stanley Kubrick, 1968 (41st) Academy Awards
 Special Visual Effects, Marooned,"Thank you, Academy members, Mr. Frankovich, John Sturges and all the men that helped me on this picture. Thank you.", Robbie Robertson, 1969 (42nd) Academy Awards
 Special Visual Effects, Tora! Tora! Tora!,"Members of the Academy, I'll forever be grateful. I'd also like to thank Twentieth Century-Fox and Mr. Elmo Williams for making it possible that I'm here tonight. And to the crew that worked so hard and helped so much: Thanks, fellas. I appreciate it.L. B. ABBOTT:[Music begins.] He found my notes. Thank you."," A. D. Flowers, L. B. Abbott", 1970 (43rd) Academy Awards
 Special Visual Effects, Bedknobs and Broomsticks,"A number of people have said that – this is rather difficult to explain, but – in the technical awards there's not much excitement.  I can assure you when you're up here the excitement is ecstatic!  Ladies and gentlemen of the Academy, thank you very much.EUSTACE LYCETT:My sincere thanks to you all(?) and members of the Academy."," Alan Maley, Eustace Lycett, Danny Lee", 1971 (44th) Academy Awards
 Visual Effects, Star Wars,"Well, ladies and gentlemen, this is a fantastic feeling to be up here with these guys, fantastic guys, a wonderful American crew.  And please don't forget the British guys that worked with me just to make it possible to be here.  And thank you, Gary and George.  Fantastic.  Thank you.JOHN DYKSTRA:I'd like to thank Mr. Kurtz and Mr. Lucas and the thousands, literally, of technicians who made it all possible, because that wasn't done on a soundstage.  And I'd also like to thank Doug Trumbull who started me in this business.  Thank youRICHARD EDLUND:Thank you so much.ROBERT BLALACK:I would like to acknowledge the visual effects workers in the past who made our achievements possible, in particular Bill Reinhold, Jack Caldwell and Paul Lerpae.  From the ""Star Wars"" production I'd like to thank Paul Roth, Jamie Shourt, John Dykstra, George Lucas and Gary Kurtz.  This is ours.  Thank you."," John Stears, John Dykstra, Richard Edlund, Grant McCune, Robert Blalack", 1977 (50th) Academy Awards
 Visual Effects, Alien,"Three years ago when I was here for ""King Kong,"" I don't know English, and I say thank you.  Now I learn very well English, and I say thank you very much.H. R. GIGER:I'm very happy to have this.  Thank you very much.BRIAN JOHNSON:I'd like to thank Ridley Scott for his amazing direction of this movie, and without his effort we wouldn't be here tonight.  And I'd like to thank our crew in England.  Boy, they really went for it and they got it.  Thanks very much."," H.R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, Denys Ayling", 1979 (52nd) Academy Awards
 Visual Effects, Raiders of the Lost Ark,"Like a Boy Scout, I'm prepared this evening; I wrote it down.  This year our studio, Industrial Light &amp; Magic, received both nominations for visual effects.  In accepting this great award I must pay tribute to our most talented crew who deserve it as much as we do.  To George Lucas; Steven Spielberg, our director; Frank Marshall, the producer; and Howard Kazanjian, executive producer; thank you for the opportunity to work on so exciting a picture.  And to my fellow Academy members, our gratitude for the wonderful trophy of all, the Oscar.  Thank you."," Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston", 1981 (54th) Academy Awards
,,,,
 Visual Effects, Indiana Jones and the Temple of Doom,"Well, thank the Academy, and Steven Spielberg, George Lucas, Kathy Kennedy, Frank Marshall, and Robert Watts, everybody at Industrial Light &amp; Magic.GEORGE GIBBS:I'd like to thank Elliot Scott, the production designer, for asking me to work with him, and thank Steven Spielberg for giving me the opportunity. Thank you.MICHAEL McALISTER:There's about a hundred other people at ILM to thank.  We don't have time so I'd like to thank a few of them.  They are:  Bruce Nicholson, Michael Owens, Barbara Gallucci, Pat Sweeney, Howie Stein and the entire editorial department, and Pat Fitzsimmons and the incredible ILM grip department.  Thank you.LORNE PETERSON:I'd also like to especially throw in a thanks for George Lucas; it's our tenth year this year.  And also the model shop, which is about thirty of us. Thank you very much.DENNIS MUREN:Thank you very much."," Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs", 1984 (57th) Academy Awards
 Visual Effects, Cocoon,"This is great.  I'm a little nervous.  I would like to thank the Academy. Everyone at Industrial Light &amp; Magic who worked so hard on this show, including Bill Kimberlin, Laurie Vermont, Ray Gilberti, the entire animation department, my wife Robin.  I'd also like to thank Greg Cannom, who did the makeups.  James Horner, who did the great film score that made our work look twice as good as it was.  Richard Zanuck, David Brown, Lili Fini Zanuck.  And of course, the man that I think in the future, the very near future, that will be up here as a recipient, Ron Howard.  Thank you.RALPH McQUARRIE:I'd just like to thank Dick and Lili for having me on the show.  And to the guys at ILM that really took an interest in the sketches that I made.  Thank you.SCOTT FARRAR:This is a great picture to be involved with.  I want to thank Robert Hill, Steve Gawley, the entire company at ILM.  My wife Mary, Katherine and Maggie. And especially George Lucas who started ILM in the first place.  Thank you.DAVID BERRY:Well, I'd really like to thank the Academy and the producers of the film ""Cocoon"" for this really special honor.  I'd like to thank ILM.  I'd really like to thank ILM's general manager Warren Franklin who hasn't gotten mentioned yet.  And I'd like to thank Ed Jones, Ken Smith, Ralph Gordon and Tom Rosseter, and the members of the ILM optical department.  I'd like to thank my wife Wendy*, my mom and my dad.  And I'd like to say hello to my two boys, Tyrone* and Deacon*.  Thank you."," Ken Ralston, Ralph McQuarrie, Scott Farrar, David Berry", 1985 (58th) Academy Awards
 Visual Effects, Aliens,"Speaking for us all, including Dennis Skotak and Brian Johnson and the entire effects team, we'd like to thank the members of the Motion Picture Academy, our producer Gale Anne Hurd, and most of all the creative genius responsible for it all, Jim Cameron.  Thank you, Jim.JOHN RICHARDSON:We'd also like to thank our respective crews who went to make up the Anglo-American team, because they did all the work.  Thank you, fellows. Thank you, Academy.ROBERT SKOTAK:It's a great recognition.  Thank you.SUZANNE BENSON:Thank you so much."," Robert Skotak, Stan Winston, John Richardson, Suzanne Benson", 1986 (59th) Academy Awards
 Visual Effects, Innerspace,"This is a big thrill.  We'd really like to thank the Academy, Joe Dante for doing his great direction, Mike Finnell, of course Steven Spielberg, Rob Bottin, my wife Zara.WILLIAM GEORGE:Also thanks to Ned Gorman, Ed Hirsh and the stage department, Ease Owyeung, Barbara Affonso, Larry Tan and the ILM model makers, and also my family and my friends.HARLEY JESSUP:Thanks to John Fante and all the cameramen, to Richard Vander Wende, to John Knoll, and my wife Ann.KENNETH SMITH:Thanks to Don Clark, Peg Hunter, James Lim and all those folks at Industrial Light &amp; Magic.  Thank you very much."," Dennis Muren, William George, Harley Jessup, Kenneth Smith", 1987 (60th) Academy Awards
 Visual Effects, Who Framed Roger Rabbit,"Thank you very much.  This is very special.  I'd like to thank the Academy. This award really represents the work of hundreds of people in England and in America to put this show together, brilliantly directed by Bob Zemeckis.  And I'd also like to thank some of the artists at Industrial Light &amp; Magic:  Scott Farrar, Steve Gawley, Steve Starkey, Wes Takahashi, Brad Jerrell, and Bill Kimberlin, and my wife Robin.  And this award also, for all of us I believe, is special because it also should be in honor of all the animators and directors, like Tex Avery, from the golden age of animation who inspired ""Roger Rabbit.""  Thank you."," Ken Ralston, Richard Williams, Edward Jones, George Gibbs", 1988 (61st) Academy Awards
 Visual Effects, The Abyss,"We'd all like to thank director James Cameron for his vision and inspiration. Producer Gale Anne Hurd, for her support.  Twentieth Century Fox and the following ""Abyss"" crew members: Laura Buff, Pete Romano, Rich Mula, Walt Conti, Gene Warren, Steve Johnson, and Pat McClung.HOYT YEATMAN:I would also like to thank James Cameron, Twentieth Century Fox, and all the people at Dream Quest Images that worked very, very hard to make the award come true for me.  Thank you.DENNIS SKOTAK:I'd like to thank Bob Skotak and my wife Dorothy Fontana.  Without your help I wouldn't be here.  Thank you.DENNIS MUREN:And I'm here for Industrial Light &amp; Magic.  And thanks, everybody who worked on the show from up there, John Knoll and everyone in the computer graphics department.  And thanks so much especially to Jim Cameron, my wife Zara, and Gregory.  Thank you."," John Bruno, Dennis Muren, Hoyt Yeatman, Dennis Skotak", 1989 (62nd) Academy Awards
 Visual Effects, Terminator 2: Judgment Day,"Thanks to everyone at Industrial Light &amp; Magic and especially my incredible computer graphic team.  To Janet Healy, Mark Dippe, my wife Zara, Gregory and Gwendolen, and especially Jim Cameron.STAN WINSTON:John, Shane, Richard, Matt, Debbie, and the genius Jim Cameron.GENE WARREN, JR.:My partner Leslie Huntley and the great crew at Fantasy II, and the vision of Jim Cameron.ROBERT SKOTAK:And my dear partner Elaine Edford; my wonderful brother, cinematographer Dennis Skotak; all the great team at Forward; and to Jim Cameron, who's got to get one of these soon."," Dennis Muren, Stan Winston, Gene Warren, Jr., Robert Skotak", 1991 (64th) Academy Awards
 Visual Effects, Death Becomes Her,"I'd like to thank the Academy, congratulate Bob Zemeckis, Steve Starkey and all the artists at Industrial Light &amp; Magic including Bruce Vecchitto, Steve Gawley, Pat Turner, Peter Daulton, and...DOUG CHIANG:I'd like to thank Patty Blau, Debbie Denise, the ILM art department, the model shop, my mom and dad, and Liz Hanks and all my wonderful friends, and...TOM WOODRUFF JR.:On behalf of my partner Alec Gillis, who cannot be up here because of a coin toss, and our crew including Yuri and Gino and Stan Winston...DOUG SMYTHE:I'd like to thank everyone at ILM including especially Gail Currey, Lincoln Hu, Judith Weaver, Andrew Schmidt, Geoff Campbell, Joe Pasquale, Ron Moreland, Alex Seiden, Steve Rosenbaum, and thank you, Sandy Karpman.  Thank you very much."," Ken Ralston, Doug Chiang, Doug Smythe, Tom Woodruff, Jr.", 1992 (65th) Academy Awards
 Visual Effects, Jurassic Park,," Dennis Muren, Stan Winston, Phil Tippett, Michael Lantieri", 1993 (66th) Academy Awards
 Visual Effects, Forrest Gump,"I'd like to thank the Academy.  It was great being a film magician on ""Gump,"" working for the amazing Bob Zemeckis.  I'd also like to thank my wife Robin, Debbie Denise, Vance Piper, Pat Turner, Mark Holmes, and of course...GEORGE MURPHY:And of course we'd like to thank the incredible crew at ILM, whose perseverance over the course of nearly a year made Bob Zemeckis' vision look absolutely real.  Those guys really did it and we thank them.STEPHEN ROSENBAUM:We especially wanted to be sure to thank Doug Chiang for his fabulous art direction in putting new words into the mouths of old presidents, John Schlag for his great crowd control, and Annie Calanchini for helping us mind our peas and carrots.  And of course my wife Megan Jones.ALLEN HALL:Charles Newirth, Joe Montenegro, a great special effects crew, my wife Suzanne, and the creative mind of Bob Zemeckis.  Thank you."," Ken Ralston, George Murphy, Stephen Rosenbaum, Allen Hall", 1994 (67th) Academy Awards
 Visual Effects, Babe,"I'd like to thank the membership for realizing that ""Babe"" was a visual effects film; animals don't really talk.  Uh, and to George Miller and Chris Noonan's vision of a world where animals have as much humanity and personality as humans do.  To Karl Miller, whose amazing animal action was an inspiration to us.  To Marcus D'Arcy, John Friedkin and to the team at Rhythm &amp; Hues.NEAL SCANLAN:I'd like to thank John Stephenson and everybody at Henson's Creature Shop. Above all I'd like to thank my crew.  Their brilliance and dedication make this their award too.  I'd also like to thank you, the Academy.JOHN COX:I'd like to thank Greg McKee, Chris Chitty, Matt Ward, my loyal crew, my mum and my family.SCOTT E. ANDERSON:Hey to Chris Noonan.  This is for you, your friends and your friendship. Thanks a lot."," Scott E. Anderson, Charles Gibson, Neal Scanlan, John Cox", 1995 (68th) Academy Awards
 Visual Effects, Independence Day,"Now this is movie magic, really.  Okay.  I'd like to thank a great team.  I'd like to thank Bob Hurrie, Terry Clotiaux, Anna Foerster, Marc Weigert, and other great people who worked on this movie.  And especially I thank Roland Emmerich, the director of ""Independence Day,"" who made all this possible.  And to Roland and Dean, let's kick the tires and light the fires.DOUGLAS SMITH:There are over 300 people involved with just the visual effects and I'll thank each of them later tonight, I promise.  I do have to thank Roland Emmerich, our director.  Thank God he had a great sense of humor.  He was with us every day and at all hours.  I'd like to also thank Dean Devlin, and Terry Clotiaux, and my wife Anna Chi.  Thank you.JOSEPH VISKOCIL:Thanks, Emmet, Joey.  [Music begins.]  Thank you, Mickey.  Thanks, guys. [Unintelligible...] gotta go!"," Volker Engel, Douglas Smith, Clay Pinney, Joseph Viskocil", 1996 (69th) Academy Awards
 Visual Effects, Titanic,"Well, this winning thing is pretty damn okay, that's all I can say.  I'd like to absolutely thank Jim Cameron for letting us be a part of motion picture history.  It's just fantastic.  Jon Landau and Rae Sanchini, thanks for the incredible support.  I want to be the first to congratulate Digital Domain, Cari Thomas, Mark Forker, Erik Nash, our friends at VIFX for Academy Award-winning work on this film.  And I'd like to thank my lovely wife Cynthia.THOMAS L. FISHER:I'd really like to thank my entire crew.  Without them I couldn't be here. Thank you."," Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer", 1997 (70th) Academy Awards
